Star,Program_ID,Program_timeline,parallax,uncertainty_parallax,reference_parallax,Distance,Uncertainty_distance_positive,uncertainty_distance_negative,reference_distance,Spectral_Type,reference_spectral_type,2MASS_Designation,Region,reference_region,Log_Mstar,uncertainty_positive_Log_Mstar,uncertainty_negative_Log_Mstar,Mstar,reference_Mstar,Mdisk,uncertainty_Mdisk,reference_Mdisk,R95,reference_R95,R90,reference_R90,R68,reference_R68,uncertainty_R95_positive,uncertainty_R95_negative,T_eff,uncertainty_Teff,reference_log_Teff,log_Lstar,uncertainty_log_Lstar,reference_log_Lstar,log_tstar,log_tstar_lessthan,uncertainty_log_tstar_positive,uncertainty_log_tstar_negative,reference_log_tstar,log_accretion_rate,log_accretion_rate_lessthan,log_uncertainty_accretion_rate,Accrection_rate,reference_accretion_rate,A_v,reference_A_v,disk_inclination,uncertainty_disk_inclination_positive,uncertainty_disk_inclination_negative,reference_disk_inclination,bright_ring_number,reference_bright_ring_number,dark_gap_number,reference_dark_gap_number,Disk_has_Rings,reference_Disk_has_Rings,Annular_Substructures,reference_Annular_Substructures,Disk_has_spirals,reference_Disk_has_spirals,Disk_Asymmetry,reference_Disk_Asymmetry,Transition_Disk,reference_Transition_Disk,Star_system,reference_star_system
HT Lup,1584,"Feb 19, 2023 - Apr 8, 2023 (2023.050 - 2023.098)",6.515737613,0.054831017,gaia_dr3_parallaxes,153.4745656,1.291514026,1.291514026,gaia_dr3_parallaxes,K2,alcaca_2017,J15451286-3417305,Lup I,cambresy_1999,0.23,0.06,-0.13,1.698243652,andrews_2018,0.014018004,-99,manara_2019,-99,,-99,-99,-99,-99,-99,-99,4897.79,225.55,alcaca_2017,0.74,0.2,alcaca_2017,5.9,0,0.3,0.3,andrews_2018,-8.4,1,0.0,0.000000003981071706,alcaca_2017,0.00,alcaca_2017,-99.00,-99.00,-99.00,na,-99,huang_2018,-99,huang_2018,FALSE,kurtovic_2018,FALSE,kurtovic_2018,TRUE,kurtovic_2018,FALSE,kurtovic_2018,FALSE,kurtovic_2018,Triple,kurtovic_2018
GW Lup,1282,"Jul 8, 2022 - Aug 31, 2022 (2022.189 - 2022.243)",6.443232583,0.017233493,gaia_dr3_parallaxes,155.2015991,0.4151123891,0.4151123891,gaia_dr3_parallaxes,M1.5,alcaca_2017,J15464473–3430354,Lup I,cambresy_1999,-0.34,0.1,-0.17,0.4570881896,andrews_2018,0.015015,-99,garufi_2022,105.00,huang_2018,-99,-99,-99,-99,1.00,1.00,3630.78,167.20,alcaca_2017,-0.48,0.2,alcaca_2017,6.3,0,0.4,0.4,andrews_2018,-9.0,0,0.4,0.000000001,alcaca_2017,0.80,garufi_2022,38.70,0.30,0.30,huang_2018,2,huang_2018,2,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
IM Lup,1282,"Feb 22, 2023 - Apr 12, 2023 (2023.053 - 2023.102)",6.417493723,0.02202938,gaia_dr3_parallaxes,155.8240714,0.5348984868,0.5348984868,gaia_dr3_parallaxes,K5,alcaca_2017,J15560921–3756057,Lup II,cambresy_1999,-0.05,0.09,-0.13,0.8912509381,andrews_2018,0.059063004,-99,manara_2019,264.00,huang_2018,-99,-99,182.00,tripathi_2017,1.00,1.00,4265.80,294.67,alcaca_2017,0.41,0.2,alcaca_2017,5.7,0,0.4,0.4,andrews_2018,-7.9,0,0.4,0.00000001258925412,alcaca_2017,0.40,herczeg_2014,47.50,0.30,0.30,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,TRUE,huang_2018,UNSURE,huang_2018,TRUE,manara_2019,Single,andrews_2018
RU Lup,1584,"Feb 22, 2023 - Apr 12, 2023 (2023.053 - 2023.102)",6.348865851,0.04018719,gaia_dr3_parallaxes,157.5084469,0.9970004144,0.9970004144,gaia_dr3_parallaxes,K7,alcaca_2017,J15564230–3749154,Lup II,cambresy_1999,-0.2,0.12,-0.11,0.6309573445,andrews_2018,0.042618576,-99,manara_2019,63.00,huang_2018,-99,-99,-99,-99,1.00,1.00,4073.80,187.61,alcaca_2017,0.16,0.2,alcaca_2017,5.7,0,0.4,0.4,andrews_2018,-7.1,0,0.3,0.00000007943282347,alcaca_2017,1.50,alcaca_2017,18.80,1.60,1.60,huang_2018,4,huang_2018,4,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
Sz 114,1584,"Feb 25, 2023 - Apr 4, 2023 (2023.056 - 2023.094)",6.379202717,0.023093814,gaia_dr3_parallaxes,156.7594015,0.5674960683,0.5674960683,gaia_dr3_parallaxes,M5,alcaca_2017,J16090185–3905124,Lup III,cambresy_1999,-0.76,0.08,-0.07,0.1737800829,andrews_2018,0.00796074279,0.00003384381,manara_2018,58.00,huang_2018,-99,-99,-99,-99,1.00,1.00,3162.28,72.81,alcaca_2017,-0.69,0.2,alcaca_2017,6.0,0,0.1,0.8,andrews_2018,-9.1,0,0.3,0.0000000007943282347,alcaca_2017,0.30,alcaca_2017,21.30,1.30,1.30,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,UNSURE,huang_2018,,,Single,andrews_2018
Sz 129,1584,"Feb 23, 2023 - Apr 4, 2023 (2023.054 - 2023.094)",6.24493323,0.017086055,gaia_dr3_parallaxes,160.1298145,0.4381130618,0.4381130618,gaia_dr3_parallaxes,K7,alcaca_2017,J15591647–4157102,Lup IV,cambresy_1999,-0.08,0.03,-0.15,0.8317637711,andrews_2018,0.018564546,-99,manara_2019,76.00,huang_2018,-99,-99,-99,-99,1.00,1.00,4073.80,187.61,alcaca_2017,-0.36,0.2,alcaca_2017,6.6,0,0.4,0.4,andrews_2018,-8.3,0,0.3,0.000000005011872336,alcaca_2017,0.90,alcaca_2017,34.10,1.30,1.30,huang_2018,3,huang_2018,2,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,TRUE,huang_2018,,,Single,andrews_2018
MY Lup,1584,"Feb 23, 2023 - Apr 15, 2023 (2023.054 - 2023.105)",6.363048175,0.035545986,gaia_dr3_parallaxes,157.1573831,0.8779305119,0.8779305119,gaia_dr3_parallaxes,K0,alcaca_2017,J16004452-4155310,Lup IV,cambresy_1999,0.09,0.03,-0.13,1.230268771,andrews_2018,0.01699698,-99,manara_2019,87.00,huang_2018,-99,-99,-99,-99,1.00,1.00,5128.61,236.18,alcaca_2017,-0.06,0.2,alcaca_2017,7.0,0,0.6,0.3,andrews_2018,-9.6,1,0.0,0.0000000002511886432,alcaca_2017,1.30,alcaca_2017,73.20,0.10,0.10,huang_2018,2,huang_2018,2,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,UNSURE,huang_2018,FALSE,huang_2018,Single,andrews_2018
HD 142666,1584,"Feb 21, 2023 - Apr 6, 2023 (2023.052 - 2023.096)",6.837516101,0.021670744,gaia_dr3_parallaxes,146.2519408,0.4635292,0.4635292,gaia_dr3_parallaxes,A8,fairlamb_2015,J15564002–2201400,Upper Sco,luhman_2018,0.2,0.04,-0.01,1.584893192,andrews_2018,-99,-99,,59.00,huang_2018,-99,-99,-99,-99,1.00,1.00,7585.78,349.34,fairlamb_2015,0.96,0.21,fairlamb_2015,7.1,0,0.3,0.3,andrews_2018,-8.4,1,0.0,0.000000003981071706,fairlamb_2015,0.50,fairlamb_2015,62.22,0.14,0.14,huang_2018,4,huang_2018,3,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,TRUE,huang_2018,,,Single,andrews_2018
HD 143006,1584,"Feb 21, 2023 - Apr 7, 2023 (2023.052 - 2023.097)",5.975928341,0.018207638,gaia_dr3_parallaxes,167.3380173,0.5098504982,0.5098504982,gaia_dr3_parallaxes,G7,luhman_2012,J15583692–2257153,Upper Sco,luhman_2018,0.25,0.05,-0.08,1.77827941,andrews_2018,-99,-99,,82.00,huang_2018,-99,-99,-99,-99,1.00,1.00,5623.41,258.97,barenfeld_2016,0.58,0.15,barenfeld_2016,6.6,0,0.3,0.3,andrews_2018,-8.1,0,0.4,0.000000007943282347,rigliaco_2015,0.45,herczeg_2014,18.60,0.80,0.80,huang_2018,3,huang_2018,2,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,TRUE,andrews_2018,,,Single,andrews_2018
AS 205,1584,"Feb 23, 2023 - Apr 9, 2023 (2023.054 - 2023.099)",7.572337526,0.07182364,gaia_dr3_parallaxes,132.0596179,1.252585799,1.252585799,gaia_dr3_parallaxes,K5,luhman_2012,J16113134-1838259,Upper Sco,luhman_2018,-0.06,0.07,-0.05,0.87096359,andrews_2018,0.029,-99,andrews_2009,-99,-99,-99,-99,-99,-99,-99,-99,4265.80,294.67,barenfeld_2016,0.33,0.15,barenfeld_2016,5.8,0,0.3,0.3,andrews_2018,-7.4,0,0.4,0.00000003981071706,salyk_2013,1.75,herczeg_2014,-99.00,-99.00,-99.00,na,-99,huang_2018,-99,huang_2018,FALSE,kurtovic_2018,TRUE,kurtovic_2018,TRUE,kurtovic_2018,TRUE,kurtovic_2018,FALSE,kurtovic_2018,Triple,kurtovic_2018
