Star,Distance,Uncertainty_distance_positive,uncertainty_distance_negative,reference_distance,Spectral_Type,reference_spectral_type,2MASS_Designation,Region,reference_region,Log_Mstar,uncertainty_positive_Log_Mstar,uncertainty_negative_Log_Mstar,reference_Mstar,Mdisk,reference_Mdisk,T_eff,uncertainty_Teff,uncertainty_log_Teff,reference_log_Teff,log_Lstar,uncertainty_log_Lstar,reference_log_Lstar,log_tstar,log_tstar_lessthan,uncertainty_log_tstar_positive,uncertainty_log_tstar_negative,reference_log_tstar,accretion_rate,accretion_rate_lessthan,uncertainty_accretion_rate,reference_accretion_rate,disk_inclination,uncertainty_disk_inclination_positive,uncertainty_disk_inclination_negative,reference_disk_inclination,bright_ring_number,reference_bright_ring_number,dark_gap_number,reference_dark_gap_number
HT Lup*,154,2,2,gaia_dr2_parallaxes,K2,alcaca_2017,J15451286-3417305,Lup I,cambresy_1999,0.23,0.06,-0.13,andrews_2018,,,4897.79,,0.02,alcaca_2017,0.74,0.2,alcaca_2017,5.9,0,0.3,0.3,andrews_2018,-8.4,1,0.0,alcaca_2017,-99.00,-99.00,-99.00,na,-99,huang_2018,-99,huang_2018
GW Lup,155,3,3,gaia_dr2_parallaxes,M1.5,alcaca_2017,J15464473–3430354,Lup I,cambresy_1999,-0.34,0.1,-0.17,andrews_2018,,,3630.78,,0.02,alcaca_2017,-0.48,0.2,alcaca_2017,6.3,0,0.4,0.4,andrews_2018,-9.0,0,0.4,alcaca_2017,38.70,0.30,0.30,huang_2018,2,huang_2018,2,huang_2018
IM Lup,158,3,3,gaia_dr2_parallaxes,K5,alcaca_2017,J15560921–3756057,Lup II,cambresy_1999,-0.05,0.09,-0.13,andrews_2018,0.1,"Check sean andrews paper, mm wavelengths. Could potentially have other disk masses. Spitzer 2, table 1, ref w/out matches",4265.80,,0.03,alcaca_2017,0.41,0.2,alcaca_2017,5.7,0,0.4,0.4,andrews_2018,-7.9,0,0.4,alcaca_2017,47.50,0.30,0.30,huang_2018,1,huang_2018,1,huang_2018
RU Lup,159,3,3,gaia_dr2_parallaxes,K7,alcaca_2017,J15564230–3749154,Lup II,cambresy_1999,-0.2,0.12,-0.11,andrews_2018,0.01,"? Spitzer 2, table 1, ref w/out matches",4073.80,,0.02,alcaca_2017,0.16,0.2,alcaca_2017,5.7,0,0.4,0.4,andrews_2018,-7.1,0,0.3,alcaca_2017,18.80,1.60,1.60,huang_2018,4,huang_2018,4,huang_2018
Sz 114,162,3,3,gaia_dr2_parallaxes,M5,alcaca_2017,J16090185–3905124,Lup III,cambresy_1999,-0.76,0.08,-0.07,andrews_2018,,,3162.28,,0.01,alcaca_2017,-0.69,0.2,alcaca_2017,6.0,0,0.1,0.8,andrews_2018,-9.1,0,0.3,alcaca_2017,21.30,1.30,1.30,huang_2018,1,huang_2018,1,huang_2018
Sz 129,161,3,3,gaia_dr2_parallaxes,K7,alcaca_2017,J15591647–4157102,Lup IV,cambresy_1999,-0.08,0.03,-0.15,andrews_2018,,,4073.80,,0.02,alcaca_2017,-0.36,0.2,alcaca_2017,6.6,0,0.4,0.4,andrews_2018,-8.3,0,0.3,alcaca_2017,34.10,1.30,1.30,huang_2018,3,huang_2018,2,huang_2018
MY Lup**,156,3,3,gaia_dr2_parallaxes,K0,alcaca_2017,J16004452-4155310,Lup IV,cambresy_1999,0.09,0.03,-0.13,andrews_2018,,,5128.61,,0.02,alcaca_2017,-0.06,0.2,alcaca_2017,7.0,0,0.6,0.3,andrews_2018,-9.6,1,0.0,alcaca_2017,73.20,0.10,0.10,huang_2018,2,huang_2018,2,huang_2018
HD 142666,148,2,2,gaia_dr2_parallaxes,A8,fairlamb_2015,J15564002–2201400,Upper Sco,luhman_2018,0.2,0.04,-0.01,andrews_2018,,,7585.78,,0.02,fairlamb_2015,0.96,0.21,fairlamb_2015,7.1,0,0.3,0.3,andrews_2018,-8.4,1,0.0,fairlamb_2015,62.22,0.14,0.14,huang_2018,4,huang_2018,3,huang_2018
HD 143006,165,5,5,gaia_dr2_parallaxes,G7,luhman_2012,J15583692–2257153,Upper Sco,luhman_2018,0.25,0.05,-0.08,andrews_2018,,,5623.41,,0.02,barenfeld_2016,0.58,0.15,barenfeld_2016,6.6,0,0.3,0.3,andrews_2018,-8.1,0,0.4,rigliaco_2015,18.60,0.80,0.80,huang_2018,3,huang_2018,2,huang_2018
AS 205*,128,2,2,gaia_dr2_parallaxes,K5,luhman_2012,J16113134-1838259,Upper Sco,luhman_2018,-0.06,0.07,-0.05,andrews_2018,0.029,"? Spitzer 2, table 1, ref w/out matches",4265.80,,0.03,barenfeld_2016,0.33,0.15,barenfeld_2016,5.8,0,0.3,0.3,andrews_2018,-7.4,0,0.4,salyk_2013,-99.00,-99.00,-99.00,na,-99,huang_2018,-99,huang_2018
SR 4,134,2,2,gaia_dr2_parallaxes,K7,luhman_1999,J16255615–2420481,Oph L1688,andrews_2018,-0.17,0.11,-0.14,andrews_2018,,,4073.80,,0.02,andrews_2010,0.07,0.2,andrews_2010,5.9,0,0.4,0.4,andrews_2018,-6.9,0,0.5,natta_2006,22.00,2.00,2.00,huang_2018,1,huang_2018,1,huang_2018
Elias 20,138,5,5,gaia_dr2_parallaxes,M0,natta_2006,J16261886–2428196,Oph L1688,andrews_2018,-0.32,0.12,-0.07,andrews_2018,,,3890.45,,0.03,andrews_2009,0.35,0.2,andrews_2009,5.9,1,0.0,0.0,andrews_2018,-6.9,0,0.5,natta_2006,49.00,1.00,1.00,huang_2018,2,huang_2018,2,huang_2018
DoAr 25,138,3,3,gaia_dr2_parallaxes,K5,wilking_2005,J16262367–2443138,Oph L1688,andrews_2018,-0.02,0.04,-0.19,andrews_2018,0.136,"? Spitzer 2, table 1, ref w/out matches",4265.80,,0.03,andrews_2009,-0.02,0.2,andrews_2009,6.3,0,0.4,0.4,andrews_2018,-8.3,0,0.5,muzerolle_1998,67.40,0.20,0.20,huang_2018,3,huang_2018,3,huang_2018
Elias 24,136,3,3,gaia_dr2_parallaxes,K5,wilking_2005,J16262407–2416134,Oph L1688,andrews_2018,-0.11,0.16,-0.08,andrews_2018,,,4265.80,,0.03,andrews_2010,0.78,0.2,andrews_2010,5.3,0,0.4,0.4,andrews_2018,-6.4,0,0.5,natta_2006,29.00,0.30,0.30,huang_2018,2,huang_2018,2,huang_2018
